name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Ho Chi Minh,2022-10-29,32,24,27.4,34.8,24,28.8,22.3,75,0.9,95.2,25,rain,0,0,23,14.8,2.8,1007,70.9,16.6,222.6,19.2,8,10,2022-10-29T05:43:47,2022-10-29T17:29:56,0.1,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"VVTS,remote"
Ho Chi Minh,2022-10-30,32.2,24,27,35.9,24,28.2,22.4,77.5,3.9,38.1,41.67,rain,0,0,14.8,9.7,28.3,1007,94,23.5,227.5,19.7,9,10,2022-10-30T05:43:59,2022-10-30T17:29:36,0.15,Overcast,Cloudy skies throughout the day.,cloudy,
Ho Chi Minh,2022-10-31,31.5,23.2,26.7,33.5,23.2,27.5,21.5,75.2,0.1,33.3,4.17,rain,0,0,21.2,14.8,7.8,1008.1,88.3,24.1,259.5,22.5,9,10,2022-10-31T05:44:12,2022-10-31T17:29:18,0.21,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
Ho Chi Minh,2022-11-01,32.3,23.9,26.9,35.2,23.9,28.3,22.3,77,2.4,47.6,50,rain,0,0,24.5,13.3,158.6,1008.9,91.6,23.8,222.6,19.2,9,10,2022-11-01T05:44:25,2022-11-01T17:29:00,0.26,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,
Ho Chi Minh,2022-11-02,31.8,22.9,25.8,35.4,22.9,26.9,22.3,81.9,12.3,47.6,58.33,rain,0,0,32,12.2,153.5,1009.5,92.9,19.6,240.2,20.9,9,10,2022-11-02T05:44:39,2022-11-02T17:28:44,0.32,"Rain, Overcast",Cloudy skies throughout the day with early morning rain.,rain,
Ho Chi Minh,2022-11-03,31.9,22.8,26,34,22.8,26.9,21.8,79.1,0.8,47.6,12.5,rain,0,0,30.6,12.6,116.7,1010,51,24,250.9,21.6,9,10,2022-11-03T05:44:54,2022-11-03T17:28:28,0.37,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain.,rain,
Ho Chi Minh,2022-11-04,32.1,23.3,26.3,35.4,23.3,27.5,22.1,79,1.7,47.6,16.67,rain,0,0,28,11.5,100,1010.9,21.2,24.1,223.8,19.2,8,30,2022-11-04T05:45:09,2022-11-04T17:28:13,0.42,"Rain, Partially cloudy",Partly cloudy throughout the day with storms possible.,rain,
Ho Chi Minh,2022-11-05,33.7,23.7,27.1,38,23.7,28.5,22.7,78.5,6,71.4,16.67,rain,0,0,20.9,10.1,131,1011.3,43.5,20.8,257.8,22.2,9,30,2022-11-05T05:45:25,2022-11-05T17:28:00,0.45,"Rain, Partially cloudy",Becoming cloudy in the afternoon with storms possible.,rain,
Ho Chi Minh,2022-11-06,30.8,24.3,27,36.1,24.3,29,23.4,81.2,8.5,57.1,20.83,rain,0,0,20.2,9.7,225.1,1010.6,88.9,21.6,246.8,21.3,8,60,2022-11-06T05:45:41,2022-11-06T17:27:47,0.48,"Rain, Partially cloudy",Partly cloudy throughout the day with storms possible.,rain,
Ho Chi Minh,2022-11-07,33,24.5,27.4,37.3,24.5,29.3,23.3,79.8,5.7,61.9,16.67,rain,0,0,20.2,9.7,273.4,1009.9,89.5,23.9,238.5,20.4,8,60,2022-11-07T05:45:59,2022-11-07T17:27:36,0.49,"Rain, Partially cloudy",Partly cloudy throughout the day with storms possible.,rain,
Ho Chi Minh,2022-11-08,32.3,24.1,27.1,36.8,24.1,28.9,23.3,80.8,6.6,66.7,20.83,rain,0,0,20.2,9.7,169.1,1009,76.7,21.9,254.8,22.2,9,60,2022-11-08T05:46:17,2022-11-08T17:27:25,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with storms possible.,rain,
Ho Chi Minh,2022-11-09,31.1,24,26.8,36,24,28.7,23.4,82.2,4.4,57.1,16.67,rain,0,0,15.8,8.3,141.7,1009.9,87.1,22.7,246.4,21.3,9,60,2022-11-09T05:46:35,2022-11-09T17:27:16,0.51,"Rain, Partially cloudy",Partly cloudy throughout the day with storms possible.,rain,
Ho Chi Minh,2022-11-10,31.2,24.1,27,35.2,24.1,28.6,23,79.8,1.3,57.1,12.5,rain,0,0,13.7,9,68.9,1010.6,99,22.3,179.6,15.8,7,30,2022-11-10T05:46:54,2022-11-10T17:27:07,0.53,"Rain, Overcast",Cloudy skies throughout the day with storms possible.,rain,
Ho Chi Minh,2022-11-11,32.8,24.1,27,37.2,24.1,28.6,23.1,80.3,7.5,81,12.5,rain,0,0,15.5,9.4,105.7,1008.9,82.2,20.7,225,19.5,8,60,2022-11-11T05:47:14,2022-11-11T17:27:00,0.54,"Rain, Partially cloudy",Partly cloudy throughout the day with storms possible.,rain,
Ho Chi Minh,2022-11-12,30.3,24,26.5,35.5,24,28.2,23.4,83.9,10.5,61.9,16.67,rain,0,0,22,9,78.1,1008.5,93.3,21.6,225.8,19.4,8,60,2022-11-12T05:47:35,2022-11-12T17:26:54,0.58,"Rain, Overcast",Cloudy skies throughout the day with storms possible.,rain,
