name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
can tho,2022-10-31,32.3,23,27.6,34.8,23,28.7,21.8,72.5,0,4.8,0,,0,0,21.6,16.2,5.2,1007.9,75.4,19.9,271.8,23.6,9,10,2022-10-31T05:47:06,2022-10-31T17:33:43,0.21,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VVCT,remote"
can tho,2022-11-01,31.5,24.2,26.9,34.9,24.2,28.2,22.2,76.3,6.8,57.1,83.33,rain,0,0,20.9,11.2,105.9,1009.1,84.4,20.8,183.9,15.9,9,10,2022-11-01T05:47:18,2022-11-01T17:33:26,0.26,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain.,rain,
can tho,2022-11-02,27.5,23.8,24.8,30.1,23.8,25.1,22.5,87.2,7.1,85.7,70.83,rain,0,0,29.9,10.1,88.3,1009.8,96.5,20.2,89.9,7.6,6,10,2022-11-02T05:47:31,2022-11-02T17:33:11,0.32,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,
can tho,2022-11-03,29.9,23.7,25.9,33.6,23.7,27.1,22.6,82.5,4.9,76.2,41.67,rain,0,0,33.5,17.3,99.2,1009.8,49,21.7,235.2,20.3,9,10,2022-11-03T05:47:44,2022-11-03T17:32:56,0.37,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain.,rain,
can tho,2022-11-04,30.6,23.1,26.1,33.9,23.1,27.2,21.9,79,1.1,61.9,25,rain,0,0,33.1,17.6,97.3,1010.5,60.2,23.1,206.7,18,9,10,2022-11-04T05:47:58,2022-11-04T17:32:43,0.42,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,
can tho,2022-11-05,30.1,23,25.6,32.9,23,26.6,21.8,80.3,5.3,57.1,16.67,rain,0,0,27,9,82.8,1011.6,100,23,144.1,12.5,5,10,2022-11-05T05:48:13,2022-11-05T17:32:30,0.45,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain.,rain,
can tho,2022-11-06,30.3,23.2,26.1,32.2,23.2,26.9,21.5,77.4,0.1,57.1,4.17,rain,0,0,12.6,9.4,80.9,1011.4,99.9,24.1,182,15.9,6,10,2022-11-06T05:48:29,2022-11-06T17:32:19,0.48,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain.,rain,
can tho,2022-11-07,31.3,23.6,26.6,34.3,23.6,27.8,22,76.8,3.7,61.9,12.5,rain,0,0,10.8,10.4,239,1010.4,96.1,23.2,214.5,18.6,8,10,2022-11-07T05:48:45,2022-11-07T17:32:08,0.49,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain.,rain,
can tho,2022-11-08,31.3,23.7,26,35.2,23.7,26.9,22.6,82.5,6.2,80.9,20.83,rain,0,0,19.1,11.9,98.2,1010.1,93.7,22.2,152.6,13.2,7,30,2022-11-08T05:49:02,2022-11-08T17:31:59,0.5,"Rain, Overcast",Cloudy skies throughout the day with storms possible.,rain,
can tho,2022-11-09,30.8,23.9,26.9,34.5,23.9,28.5,22.8,79.7,2.1,71.4,12.5,rain,0,0,31,14.4,85.5,1010.4,70.5,21.4,238.1,20.5,7,30,2022-11-09T05:49:19,2022-11-09T17:31:50,0.51,"Rain, Partially cloudy",Partly cloudy throughout the day with storms possible.,rain,
can tho,2022-11-10,30.7,24.1,26.8,35.3,24.1,28.7,23.3,81.9,12.4,57.1,29.17,rain,0,0,21.6,12.2,107.8,1010.1,93.6,21.3,212,18.3,7,30,2022-11-10T05:49:38,2022-11-10T17:31:43,0.53,"Rain, Overcast",Cloudy skies throughout the day with storms possible.,rain,
can tho,2022-11-11,31.4,24.4,27,35.7,24.4,28.8,23.1,79.9,13.9,81,20.83,rain,0,0,16.6,9.7,104.5,1009,94.9,20.3,244.9,21.3,8,30,2022-11-11T05:49:57,2022-11-11T17:31:36,0.54,"Rain, Overcast",Cloudy skies throughout the day with storms possible.,rain,
can tho,2022-11-12,26.4,24.3,25.2,26.4,24.3,25.2,23.2,89,9.8,76.2,29.17,rain,0,0,17.6,10.1,260.9,1009,99.6,20.1,46.9,3.9,1,30,2022-11-12T05:50:16,2022-11-12T17:31:31,0.58,"Rain, Overcast",Cloudy skies throughout the day with storms possible.,rain,
can tho,2022-11-13,25.5,23,24,25.5,23,24,22.9,93.4,10.6,61.9,29.17,rain,0,0,12.2,6.2,225.6,1009.9,99.7,20.2,28.9,2.7,1,10,2022-11-13T05:50:37,2022-11-13T17:31:27,0.62,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain.,rain,
can tho,2022-11-14,29,22.8,24.9,32.5,22.8,25.5,22.9,89.2,13.5,81,25,rain,0,0,15.1,9,216.4,1009.4,100,20.2,135.4,11.7,6,30,2022-11-14T05:50:57,2022-11-14T17:31:23,0.66,"Rain, Overcast",Cloudy skies throughout the day with storms possible.,rain,
