name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
london,2022-11-01,14.9,10.8,12.9,14.9,10.8,12.9,9,77.8,3.1,100,20.83,rain,0,0,69.1,41.3,219.8,1006.3,79.3,20.5,67.5,5.8,4,10,2022-11-01T06:53:50,2022-11-01T16:33:36,0.26,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"EGWU,EGLL,EGLC"
london,2022-11-02,15,8.4,11.9,15,6.5,11.4,7.9,76.7,8,100,29.17,rain,0,0,62.3,25.2,215.3,1013.2,65.1,22.7,65.3,5.6,3,10,2022-11-02T06:55:36,2022-11-02T16:31:48,0.32,"Rain, Partially cloudy",Becoming cloudy in the afternoon with late afternoon rain.,rain,
london,2022-11-03,12.9,7.8,11,12.9,7.8,10.9,9,87.5,15.7,100,37.5,rain,0,0,42.5,16.9,222.8,1003.5,80.4,22.1,14.9,1.4,1,10,2022-11-03T06:57:23,2022-11-03T16:30:02,0.37,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,
london,2022-11-04,12.3,6.2,8.6,12.3,6,8.2,5.9,84.3,0,23.8,0,,0,0,30.2,13,259.1,1011.2,58.2,24.1,83.3,7.2,4,10,2022-11-04T06:59:09,2022-11-04T16:28:17,0.42,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
london,2022-11-05,13.4,6.8,10.3,13.4,5.4,9.8,9,91.3,4.4,66.7,20.83,rain,0,0,50,23.2,217.5,1011.9,94,22.1,15.5,1.5,1,10,2022-11-05T07:00:55,2022-11-05T16:26:34,0.45,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain.,rain,
london,2022-11-06,14.1,10.6,11.9,14.1,10.6,11.9,8.6,80.8,0.4,66.7,12.5,rain,0,0,49.8,22.7,234.4,1005,67.3,23.8,77.8,6.9,3,10,2022-11-06T07:02:41,2022-11-06T16:24:53,0.48,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,
london,2022-11-07,15.5,11.5,13.9,15.5,11.5,13.9,9.5,74.6,0.1,38.1,4.17,rain,0,0,57.6,27.4,224.8,1010.8,99.9,24.1,34.3,3.2,2,10,2022-11-07T07:04:27,2022-11-07T16:23:14,0.49,Overcast,Cloudy skies throughout the day.,cloudy,
london,2022-11-08,16.8,14,15.6,16.8,14,15.6,13.1,85.5,0.3,38.1,8.33,rain,0,0,56.2,25.2,210.9,1014.5,96.2,24.1,8.3,0.6,0,10,2022-11-08T07:06:13,2022-11-08T16:21:37,0.5,Overcast,Cloudy skies throughout the day.,cloudy,
london,2022-11-09,18.2,13.1,15.6,18.2,13.1,15.6,11.5,76.9,0.5,28.6,8.33,rain,0,0,61.6,27,208.5,1012.8,59.7,23.7,49.5,4.2,3,10,2022-11-09T07:07:58,2022-11-09T16:20:02,0.51,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
london,2022-11-10,15.6,11.4,13,15.6,11.4,13,9.1,77.9,0,28.6,0,,0,0,43.6,18.4,228.3,1024.9,31.2,24.1,70.3,6.2,3,10,2022-11-10T07:09:44,2022-11-10T16:18:28,0.53,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
london,2022-11-11,17.7,11.5,14.8,17.7,11.5,14.8,11.1,78.7,0,23.8,0,,0,0,52.8,17.5,186.6,1026,47.9,24.1,69.1,5.9,3,10,2022-11-11T07:11:29,2022-11-11T16:16:57,0.54,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,
london,2022-11-12,17.5,13.4,15.3,17.5,13.4,15.3,12.3,82.1,0,19,0,,0,0,54.4,18,221.7,1025,80.5,24.1,49.4,4.1,2,10,2022-11-12T07:13:13,2022-11-12T16:15:27,0.58,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
london,2022-11-13,18,12.7,14.6,18,12.7,14.6,11.2,81,0,14.3,0,,0,0,26.6,9.4,207.2,1030,77.2,24.1,66.1,5.6,3,10,2022-11-13T07:14:58,2022-11-13T16:14:00,0.62,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
london,2022-11-14,17.5,12.4,14.5,17.5,12.4,14.5,9.8,73.7,0,14.3,0,,0,0,45,13.7,154.1,1024.5,6.8,24.1,67.8,5.6,3,10,2022-11-14T07:16:41,2022-11-14T16:12:35,0.66,Clear,Clear conditions throughout the day.,clear-day,
london,2022-11-15,16.6,12.8,14.5,16.6,12.8,14.5,11.5,82.5,0.2,28.6,8.33,rain,0,0,64.8,30.2,214.6,1017,68,24,39.4,3.3,2,10,2022-11-15T07:18:25,2022-11-15T16:11:12,0.7,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
