name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
phan thiet,2022-11-01,28.7,22.1,24.4,31.3,22.1,25,21.6,85.4,3.1,100,50,rain,0,0,10.8,11.5,148.3,1009.5,99.9,22.9,195.9,16.7,7,10,2022-11-01T05:38:58,2022-11-01T17:23:15,0.26,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,remote
phan thiet,2022-11-02,28.2,22,24,30.1,22,24.4,20.9,83.3,1.2,85.7,25,rain,0,0,13.3,9.4,97.7,1010.2,98.5,23.8,191.6,16.6,8,10,2022-11-02T05:39:13,2022-11-02T17:22:58,0.32,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain.,rain,
phan thiet,2022-11-03,28.3,21.1,24.2,30.6,21.1,24.8,20.9,82.8,1.3,52.4,25,rain,0,0,21.2,14.4,87.5,1010.8,89.7,23.9,236.6,20.3,8,10,2022-11-03T05:39:27,2022-11-03T17:22:42,0.37,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,
phan thiet,2022-11-04,29.9,22.6,25.1,32.2,22.6,25.7,21,79,1.7,71.4,37.5,rain,0,0,17.3,14.4,100.9,1011.6,76.9,23.7,255.3,22,9,10,2022-11-04T05:39:43,2022-11-04T17:22:27,0.42,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,
phan thiet,2022-11-05,29.6,21.7,24.6,32.3,21.7,25.4,21.5,83.9,3.8,57.1,45.83,rain,0,0,11.5,10.1,148.8,1012.4,79.7,22,242.3,20.9,9,10,2022-11-05T05:39:59,2022-11-05T17:22:14,0.45,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain.,rain,
phan thiet,2022-11-06,30.2,21.8,24.9,32.6,21.8,25.7,21.2,81.2,0.4,52.4,8.33,rain,0,0,9.4,12.6,191.2,1011.8,65.6,24.1,259.3,22.5,9,10,2022-11-06T05:40:16,2022-11-06T17:22:01,0.48,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain.,rain,
phan thiet,2022-11-07,30.8,21.5,25.2,32.5,21.5,25.9,20.6,77,0.3,57.1,12.5,rain,0,0,7.9,13,173.2,1010.9,77.3,24.1,265.9,23.1,9,10,2022-11-07T05:40:33,2022-11-07T17:21:49,0.49,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain.,rain,
phan thiet,2022-11-08,31.3,22,25.6,33.4,22,26.5,20.8,76,0.1,42.9,4.17,rain,0,0,11.5,14.8,175,1010,93.3,24.1,254.3,21.9,9,10,2022-11-08T05:40:51,2022-11-08T17:21:38,0.5,Overcast,Cloudy skies throughout the day.,cloudy,
phan thiet,2022-11-09,31.1,22.3,25.9,33.2,22.3,26.7,21.1,76.5,0.9,76.2,8.33,rain,0,0,13.7,14.4,128.9,1010.3,80.7,24.1,241.3,20.7,8,30,2022-11-09T05:41:10,2022-11-09T17:21:28,0.51,"Rain, Partially cloudy",Partly cloudy throughout the day with storms possible.,rain,
phan thiet,2022-11-10,31.5,22.4,26.1,34.3,22.4,27.1,21.4,76.8,0.5,61.9,8.33,rain,0,0,17.6,16.6,119.1,1010.3,34.7,24.1,261.8,23.1,9,30,2022-11-10T05:41:30,2022-11-10T17:21:20,0.53,"Rain, Partially cloudy",Partly cloudy throughout the day with storms possible.,rain,
phan thiet,2022-11-11,31.8,22.5,26.3,34.4,22.5,27.4,21.6,77.1,1.1,47.6,8.33,rain,0,0,13.3,16.2,167,1010,60.6,24.1,236.8,20.7,8,30,2022-11-11T05:41:50,2022-11-11T17:21:12,0.54,"Rain, Partially cloudy",Partly cloudy throughout the day with storms possible.,rain,
phan thiet,2022-11-12,32.4,22.5,26.3,34.6,22.5,27.3,21.3,75.9,0.4,47.6,12.5,rain,0,0,14.4,14.4,201.3,1009.4,95.8,24.1,240.1,20.7,9,10,2022-11-12T05:42:11,2022-11-12T17:21:06,0.58,"Rain, Overcast",Cloudy skies throughout the day with afternoon rain.,rain,
phan thiet,2022-11-13,31.3,22.5,25.8,34,22.5,26.6,21.5,78.9,1.8,57.1,12.5,rain,0,0,12.6,17.3,199.1,1008.8,95.4,23.3,187.9,16.2,7,10,2022-11-13T05:42:32,2022-11-13T17:21:00,0.62,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain.,rain,
phan thiet,2022-11-14,29.9,22.4,25.1,32.6,22.4,25.9,21.6,82.3,3.5,71.4,16.67,rain,0,0,7.2,9.7,236.4,1009.3,100,23.2,162,13.8,7,30,2022-11-14T05:42:54,2022-11-14T17:20:56,0.66,"Rain, Overcast",Cloudy skies throughout the day with storms possible.,rain,
phan thiet,2022-11-15,27.6,22.2,24.3,30,22.2,24.8,21.7,85.8,1.5,61.9,12.5,rain,0,0,6.1,6,117.2,1009.6,97.8,23.9,90.9,8.1,4,10,2022-11-15T05:43:17,2022-11-15T17:20:53,0.7,"Rain, Overcast",Cloudy skies throughout the day with afternoon rain.,rain,
